"Player","Nation","Pos","Age","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls","Ast","G+A","G-PK","G+A-PK","xG","xAG","xG+xAG","npxG","npxG+xAG"
"Ederson","BRA","GK",28,35,35,3.15,35,0,1,1,0,0,0,3,0,0,0,0.2,0.2,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
"Rodri","ESP","MF",26,36,34,2.911,32.3,2,6,8,2,0,0,5,0,4.6,4.6,4.1,8.7,76,260,37,0.06,0.19,0.25,0.06,0.25,0.14,0.13,0.27,0.14,0.27
"Erling Haaland","NOR","FW",22,35,33,2.769,30.8,36,8,44,29,7,7,5,0,28.4,23.1,5.3,28.4,35,58,151,1.17,0.26,1.43,0.94,1.2,0.92,0.17,1.1,0.75,0.92
"Kevin De Bruyne","BEL","MF",31,32,28,2.417,26.9,7,16,23,7,0,0,1,0,5.6,5.6,13.7,19.3,100,246,245,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72
"İlkay Gündoğan","GER","MF",31,31,27,2.353,26.1,8,4,12,8,0,1,0,0,7.5,6.7,3.3,10,53,170,124,0.31,0.15,0.46,0.31,0.46,0.29,0.13,0.41,0.26,0.38
"Manuel Akanji","SUI","DF",27,29,24,2.287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0,0.04,0.04,0,0.04,0.05,0.02,0.07,0.05,0.07
"Bernardo Silva","POR","MF,FW",27,34,24,2.205,24.5,4,5,9,4,0,0,5,0,2.2,2.2,3.3,5.4,90,130,188,0.16,0.2,0.37,0.16,0.37,0.09,0.13,0.22,0.09,0.22
"Jack Grealish","ENG","FW",26,28,23,2.055,22.8,5,7,12,5,0,0,4,0,4.6,4.6,7,11.7,143,100,310,0.22,0.31,0.53,0.22,0.53,0.2,0.31,0.51,0.2,0.51
"Rúben Dias","POR","DF",25,26,22,1.998,22.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14,98,2,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09
"Kyle Walker","ENG","DF",32,27,22,1.958,21.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.7,50,162,75,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
"Riyad Mahrez","ALG","FW,MF",31,30,22,1.92,21.3,5,10,15,4,1,1,2,0,5.5,4.7,7,11.8,78,76,242,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55
"Nathan Aké","NED","DF",27,26,22,1.873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
"Phil Foden","ENG","FW",22,32,22,1.842,20.5,11,6,17,11,0,0,1,0,5.9,5.9,4.7,10.6,68,88,275,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52
"John Stones","ENG","DF,MF",28,23,21,1.846,20.5,2,2,4,2,0,0,2,0,1,1,1.4,2.4,28,101,34,0.1,0.1,0.2,0.1,0.2,0.05,0.07,0.12,0.05,0.12
"João Cancelo","POR","DF",28,17,16,1.274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
"Julián Álvarez","ARG","FW,MF",22,31,13,1.465,16.3,9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,37,99,0.55,0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
"Aymeric Laporte","ESP","DF",28,12,11,993,11,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,30,85,11,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
"Rico Lewis","ENG","DF,MF",17,14,10,903,10,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,22,48,26,0,0,0,0,0,0.02,0.15,0.17,0.02,0.17
